case_id,start,end,cycle_time_h
263,2018-01-06 18:35:32.763157,2018-01-06 20:55:59.004904,2.3406227075
264,2018-01-06 18:35:55.051066,2018-01-07 18:00:00.000000,23.401374703888887
265,2018-01-06 19:06:05.023915,2018-01-06 20:14:08.299423,1.1342431966666666
266,2018-01-06 19:33:45.503016,2018-01-10 08:00:00.000000,84.43736027333334
267,2018-01-06 19:36:38.235443,2018-01-06 21:00:12.586906,1.3928754063888888
268,2018-01-06 19:42:31.484730,2018-01-10 08:00:00.000000,84.29125424166666
269,2018-01-06 20:45:45.350343,2018-01-06 23:36:18.874195,2.8426455144444445
270,2018-01-06 20:56:12.914940,2018-01-06 22:49:42.928715,1.8916704930555557
271,2018-01-06 21:29:13.335447,2018-01-06 23:06:14.295152,1.616933251388889
272,2018-01-06 22:00:29.555288,2018-01-07 18:00:00.000000,19.991790197777778
273,2018-01-06 22:29:55.326066,2018-01-07 00:17:42.639651,1.7964759958333334
274,2018-01-06 22:32:22.418831,2018-01-10 08:00:00.000000,81.46043921361111
275,2018-01-06 22:32:31.864555,2018-01-07 18:00:00.000000,19.457815401388892
276,2018-01-06 23:22:27.732782,2018-01-07 18:00:00.000000,18.625629782777775
277,2018-01-06 23:49:24.291512,2018-01-07 02:05:50.982032,2.2740807
278,2018-01-07 00:06:57.634650,2018-01-10 08:00:00.000000,79.883990375
279,2018-01-07 00:20:40.018136,2018-01-07 02:42:51.606584,2.3698856800000003
280,2018-01-07 01:06:14.708409,2018-01-07 18:00:00.000000,16.895914330833335
281,2018-01-07 03:41:53.748824,2018-01-10 08:00:00.000000,76.30173643777778
282,2018-01-07 07:43:44.996345,2018-01-07 09:44:41.501261,2.01569581
283,2018-01-07 08:43:09.888742,2018-01-10 08:00:00.000000,71.28058646055555
284,2018-01-07 08:53:38.140581,2018-01-07 11:12:24.166522,2.312784983611111
285,2018-01-07 08:55:01.687907,2018-01-07 10:46:04.777821,1.8508583094444444
286,2018-01-07 09:13:34.156892,2018-01-07 12:16:38.393073,3.0511767169444446
287,2018-01-07 09:23:07.641734,2018-01-10 08:00:00.000000,70.61454396277777
288,2018-01-07 09:26:37.117161,2018-01-07 11:27:20.141253,2.0119511366666667
289,2018-01-07 09:27:31.480770,2018-01-07 11:14:53.839557,1.7895441075
290,2018-01-07 09:53:43.521064,2018-01-10 08:00:00.000000,70.10457748222223
291,2018-01-07 10:55:39.996042,2018-01-07 13:23:27.984541,2.463330138611111
292,2018-01-07 13:18:01.945571,2018-01-07 15:21:24.350798,2.0562236741666666
293,2018-01-07 14:42:19.635791,2018-01-10 08:00:00.000000,65.2945456136111
294,2018-01-07 14:54:33.330477,2018-01-07 17:31:29.817711,2.6156908983333333
295,2018-01-07 17:17:55.048527,2018-01-10 08:00:00.000000,62.701375409166666
